lat,lon
50.366135,7.4672111
50.3668216,7.4625723
50.3649739,7.4716238
50.3640623,7.4741081
50.3625464,7.4774014
50.3599516,7.482305
50.3585984,7.4845866
50.3584449,7.4854238
50.3585027,7.4861757
50.3587487,7.4864521
50.3590174,7.4864587
50.3593053,7.4861045
50.359333,7.4854416
50.359165,7.4849086
50.3584944,7.4839182
50.3555867,7.4793613
49.9860664,6.9199995
49.9715884,6.9001199
49.9749152,6.9058154
49.794723,6.6510058
49.7902484,6.646692
49.7801428,6.6315211
49.7786916,6.6257292
49.776487,6.6152519
49.774875,6.6092725
49.7692592,6.5936941
49.7652185,6.5854474
49.7604783,6.5775359
49.75561,6.5708669
49.7518255,6.5663172
49.7478296,6.5611594
49.7443466,6.5555375
49.7410247,6.5485361
49.738435,6.5410752
50.4232569,7.2301244
50.4189062,7.2331195
50.4154775,7.2347378
50.4102028,7.2365832
50.4046912,7.2385249
50.4002541,7.2411511
50.3969032,7.2441175
50.3932372,7.2487631
50.3902462,7.2541107
50.3878778,7.2601564
50.3865338,7.2652107
50.3852495,7.2737539
50.385049,7.2808927
50.3855356,7.287233
50.3866398,7.2936117
50.3880382,7.2991792
50.3898002,7.304789
50.392216,7.3110892
50.5640282,7.1456608
50.5619261,7.146922
50.5576965,7.1493564
50.5550227,7.1517263
50.5514416,7.1555034
50.5659926,7.1442412
50.5695764,7.1404396
50.5717356,7.1368612
50.573139,7.1336214
50.5745762,7.1287992
50.5753275,7.1244156
50.5756403,7.1159606
50.5750097,7.0899098
50.4835498,7.2187411
50.3157462,7.3253026
50.3153468,7.3343823
50.3155105,7.3405886
50.3163044,7.3490786
50.3169515,7.35324
50.3184845,7.3598157
50.3195447,7.3621741
50.3256085,7.3720891
50.0178645,8.2074487
50.0165798,8.2064367
50.0144952,8.2045205
50.0026678,8.1851629
49.999799,8.175062
49.9999156,8.1721619
50.0003309,8.1691133
50.000444,8.1691562
49.9999039,8.1734978
49.9999682,8.1770744
50.0004102,8.1796158
50.0016855,8.1578288
50.0018087,8.1577981
50.0019637,8.1608757
50.0018384,8.1608688
50.0018492,8.1627217
50.0017252,8.1626922
50.0014582,8.165117
50.0013387,8.1650582
50.0007953,8.1515851
49.9998954,8.1429308
49.9997761,8.1429845
50.0027878,8.120013
50.0026867,8.1198945
50.0020768,8.1233778
50.001969,8.1232919
49.9996573,8.1300981
49.9996634,8.1296461
49.9989335,8.1329977
49.999038,8.1330318
49.9988867,8.1364838
49.9987753,8.1365087
49.9990278,8.1382544
49.9989197,8.138296
50.002972,8.1179042
50.0025536,8.1123061
50.0020207,8.1101742
