lat,lon
43.6751621,-79.361332
43.7660125,-79.3370305
43.7792244,-79.3400211
43.8432078,-79.0615588
43.8017156,-79.1388138
43.8360778,-79.0764602
43.637952,-79.3973809
43.6390285,-79.456134
43.6200302,-79.5129786
43.4159066,-80.3086054
43.2411534,-80.5751661
43.4143454,-80.3278394
45.3428999,-74.8996246
45.5535675,-74.4522977
45.3847146,-74.7964239
45.3132531,-75.2546484
43.769009,-79.3334049
43.4228035,-80.2824548
43.4495514,-80.1486387
43.7662517,-79.3376591
43.7724764,-79.3394085
43.7666916,-79.3444496
43.4138724,-80.3243281
43.4127226,-80.3294677
43.4024031,-80.3766692
43.4148141,-80.4056735
43.4280198,-80.4369651
44.7694065,-75.501082
43.401731,-80.3795372
43.4122553,-80.3918722
43.4604368,-80.4722216
43.4689785,-80.0726735
43.4932305,-79.9843
43.5245737,-79.9276611
43.58635,-79.8126153
43.6132013,-79.726324
43.3332997,-80.442364
43.2941097,-80.4979603
43.2245096,-80.6031389
43.2665659,-80.5540173
43.1783971,-80.6489169
43.1310218,-80.6870231
43.0907219,-80.7670776
42.9821569,-80.9184619
42.9692583,-80.9939826
42.9550586,-81.0823094
42.9329647,-81.1943578
43.4463564,-80.1769002
43.5281062,-79.9049124
43.6041279,-79.7478166
43.6464041,-79.6370919
43.671076,-79.57884
43.7251635,-79.3306545
43.6398071,-79.5608056
43.6903434,-79.6035368
43.6515225,-79.6772463
43.6401313,-79.6560146
43.6430401,-79.6662625
43.6204394,-79.5144172
43.6844511,-79.5987893
43.7301392,-79.6267472
43.6064991,-79.7476434
43.454678,-80.1247416
42.809719,-81.3252148
42.9027968,-81.2673299
42.8844359,-81.3379572
42.8952596,-81.4022086
42.9318143,-81.4770636
42.9600424,-81.5369127
42.9927791,-81.5980218
42.9922099,-81.6780382
42.9925438,-81.7631628
42.9919594,-81.8447276
42.9917544,-81.9337839
42.9915875,-82.0105589
42.9904034,-82.0912284
42.9923222,-82.1837815
42.9943772,-82.2665774
42.9883063,-82.3436215
