lat,lon
53.7921068,10.7573679
53.7942604,10.7598501
53.8164461,10.7997905
53.8206834,10.9331011
53.8206992,10.948372
53.8150165,10.8749314
53.8142734,10.8673539
53.8250847,10.96653
53.8158355,10.7909371
53.8207952,10.9331611
53.8213648,10.9232654
53.8156827,10.8863914
53.8065858,10.7760069
53.8020305,10.7691809
53.8146144,10.7863636
53.8155466,10.882452
53.7972448,10.7633244
53.7917115,10.753204
53.8794744,11.5318217
53.876106,11.529121
53.8806505,11.5322841
53.8317075,11.365188
53.8303955,11.2267855
53.8197848,11.1343098
53.8311899,11.0265111
53.8269877,10.9700257
54.0049976,12.2027632
53.8902456,12.2569531
53.8390536,12.2908394
53.5193937,12.3559303
53.8180497,12.2994902
53.7157496,12.3568283
53.6586801,12.363528
53.4480145,12.3948258
54.0265428,12.1993547
54.028345,12.2016699
54.0192558,12.0725302
54.0196427,12.1624799
54.021181,12.1085258
53.9133856,12.2384524
53.863673,12.2601835
53.8285311,12.2997462
53.7941219,12.3024296
53.7523724,12.3289833
53.7468108,12.332189
53.4954354,12.3825347
53.6940248,12.367062
53.5973154,12.3633154
53.653823,12.3651148
53.5277447,12.3532824
53.3242089,12.4784153
53.5585023,12.316975
53.5164754,12.3579361
53.9923522,12.1989631
53.5798064,12.3328186
53.4608319,12.383174
53.3086135,12.4766435
53.7926615,10.7547098
53.7926721,10.7555413
54.0280555,12.1997885
54.0378537,12.1989719
54.1154367,12.1716831
54.1170568,12.1686422
54.106102,12.1901523
54.1059807,12.1861299
54.0301635,12.1993893
54.0081173,12.0268652
53.8639303,11.4306138
53.8529829,11.3789405
53.8230733,11.3493271
53.8274213,11.260742
53.87643,11.5358782
53.880197,11.5343955
54.0028789,12.0107892
54.0006233,11.9973034
53.9996435,11.9844776
53.9554507,11.8586153
53.9990467,11.9647384
53.9609558,11.8723651
53.8813814,11.5709231
53.8774605,11.5962054
53.922559,11.8002717
54.0205543,12.1673838
54.0174455,12.0658601
54.0180102,12.0584299
54.0079141,12.0254548
54.0785515,12.1952959
53.2990656,11.9423163
53.3209061,11.8923328
53.3442556,11.8263626
53.3600093,11.7578749
53.3692308,11.6623405
53.4109085,11.5618655
53.430226,11.4460786
53.4603035,11.3478944
53.4981848,11.0867996
53.5116759,10.856209
53.4962062,11.1172073
53.4693226,11.3242808
53.4391089,11.3847017
53.4298807,11.4297635
53.4261066,11.5134529
53.4009369,11.5777576
53.3748889,11.634028
53.367624,11.7264421
53.3599189,11.7577797
53.3367678,11.8541084
53.3252015,11.8853925
53.3005387,11.9343629
53.2887374,12.0630031
53.82669,10.9652617
53.4302584,11.4975287
53.4845291,11.2721348
53.6848273,12.3690139
54.1379293,12.1188586
54.1185492,12.1635067
53.8626284,11.4374429
54.0848538,13.1271635
54.0890606,13.0670646
54.0881816,12.9619373
54.0846699,12.7878949
54.0571712,12.6581318
54.024703,12.5805115
54.0102756,12.4717869
54.0395656,12.3223305
54.0260291,12.2277361
54.0396531,12.3619652
54.0106727,12.4877996
54.0278579,12.5932696
54.0656717,12.6949327
54.0736088,12.910206
54.0802821,13.0154687
54.0879878,13.1205829
53.3297219,14.3675008
53.3248522,14.3280195
53.3178751,14.2871326
53.3102249,14.2411116
53.3024316,14.1899848
53.2943551,14.1200722
53.510777,13.8723656
53.5578846,13.5204086
53.8543538,13.3347506
54.0723703,13.2090343
54.0738229,13.2035565
53.6918562,13.3259688
53.8880447,13.3420003
53.4681964,13.9603497
53.4380376,13.9932628
53.6736847,13.338947
53.9152668,13.3527575
53.57477,13.4482848
53.5953342,13.3867429
53.5535446,13.6466686
53.5531445,13.546683
53.680835,13.3316186
53.9865223,13.3444713
53.5152534,13.8519545
53.6563717,13.3623429
53.5799633,13.4252793
53.4729579,13.9541875
53.6412888,13.3699051
54.0679341,13.2213973
53.520595,13.7778623
53.5504681,13.6001585
53.8962634,13.3421035
53.5461168,13.6990806
54.0129038,13.2907691
54.0475871,13.2576949
53.5505636,13.6000868
53.6524347,13.3659751
53.588642,13.407077
53.5138062,13.8576506
53.7280605,13.3341035
53.6413487,13.3701181
53.2192953,11.6316037
53.3804482,11.6176908
53.3803916,11.6180505
53.3813709,11.6220306
53.7751706,12.3179147
54.1091485,12.1846899
54.1076228,12.1903735
54.0852954,13.1311438
53.8093981,10.8327611
53.6874691,11.5058126
53.6651817,11.5144641
53.6254465,11.5170352
53.599734,11.5089889
53.5450985,11.4715787
53.5003293,11.4750389
53.4644127,11.4932134
53.4332758,11.5094713
53.3168944,14.2709925
53.3159074,14.2712935
54.0854685,13.1268538
54.0844816,13.1327917
54.011393,12.2033795
54.0298432,12.2016617
54.0294359,12.1987155
54.0771405,12.194754
54.0169467,12.0610039
54.0739127,13.2031773
54.0788397,13.1563594
54.089117,13.1299363
53.4947351,13.9106312
53.3129272,11.9035063
53.3073634,12.4762862
53.8322164,11.2080674
53.8306614,11.2071674
53.8303259,11.2094093
53.8311054,11.2085764
53.8322135,11.2083149
53.2951759,14.1340735
53.6612488,13.35344
53.6798722,12.3692011
53.443733,11.5036935
53.4792971,11.4890809
53.5161981,11.4682967
53.5510695,11.4740196
53.6028122,11.5107466
53.6291587,11.5179264
53.6702972,11.5134313
53.6896623,11.5078883
53.8795518,11.5367895
53.8796295,11.533151
53.8783414,11.5384111
54.021263,12.1705769
53.4983921,11.0970725
53.2967941,12.0092028
53.4326851,11.4060766
53.5914513,11.5048906
53.5540549,11.4758603
53.5079936,11.4724594
53.4767395,11.4900724
53.4480422,11.502701
53.4150631,11.5511291
53.3479463,11.8103946
53.3357711,11.8585959
53.2973164,11.9575737
53.2871911,12.0676332
53.3794062,12.4561301
53.9485386,13.367245
53.9470583,13.3727849
54.1196482,12.1635418
54.0786053,12.1941393
54.0362423,12.4122133
53.9119224,13.3511882
53.8725397,13.3470619
53.8871767,12.2603247
53.4631655,13.9654569
53.9112682,13.3524913
53.7927576,13.3241164
53.4644489,13.9627162
53.7753913,12.3209333
53.772226,12.321759
53.8933677,13.3412289
53.887876,13.3418804
53.8993437,13.344076
53.9203804,13.3513786
53.9362228,13.3529801
53.9353487,13.3518914
53.9083926,13.3526498
53.9016348,13.3463466
53.8738341,11.6510455
53.9038878,11.7260433
53.919703,11.7946481
53.9628858,11.8780577
53.9625996,11.8801633
53.8737857,11.5445728
53.8659743,11.5614209
53.8627509,11.5799383
53.8549699,11.5921658
53.852323,11.5938333
53.8481713,11.5949432
53.843161,11.5940147
53.8388282,11.5910085
53.8320017,11.5850845
53.827816,11.5839009
53.822646,11.5850065
53.8183132,11.58842
53.8150194,11.5932851
53.8094754,11.6035174
53.4574361,12.3879406
53.6914911,11.5091247
54.0254874,12.2292165
53.496855,11.0953241
53.4976734,11.0934582
53.4849335,11.2742799
53.3651107,12.4710431
53.4944896,12.3796947
54.1382385,12.1269161
53.6934026,11.5094468
53.6680915,11.5139975
53.5939165,11.5083137
53.4446949,11.5036239
53.9008935,11.7168738
53.9028157,11.7208008
53.8091637,11.6041211
53.8142381,11.5951211
53.8179609,11.58903
53.822114,11.5854646
53.8272548,11.5840509
53.8314351,11.5849811
53.837789,11.5901824
53.8425809,11.5939126
53.8476141,11.5951336
53.8517928,11.594241
53.8577701,11.5895687
53.8634853,11.5779054
53.8674632,11.5563406
53.8739015,11.5446411
53.6161084,12.371897
53.511304,10.8959778
53.5103868,10.8972073
53.9654983,11.883606
54.0331201,12.4007549
54.0308668,12.4070336
54.0402415,12.3529805
54.0099984,12.5408624
53.8718366,11.6213211
53.4955581,13.9126238
54.0712114,13.2118884
53.8793963,11.5378924
54.0922356,13.0848356
54.0910654,13.0908017
54.0901081,13.0892373
54.0905534,13.1035115
54.0796497,13.1514749
53.3654838,12.466669
53.3656815,12.4709015
53.8639284,11.4388578
53.8633983,11.434836
53.8205448,11.3324304
53.8213573,11.3370857
53.8269576,10.9679145
53.8249771,10.9643456
53.8249802,10.9653371
53.8110139,10.8347524
53.8098894,10.8329604
53.9625567,11.8799777
53.9653581,11.8841197
53.3295698,14.3675582
53.3247271,14.3280579
53.3177586,14.2871505
53.311128,14.2465691
53.3036716,14.2000066
53.5471289,13.5674165
53.9116688,13.3537727
54.0865378,12.9815898
53.4556948,12.3839939
53.4583731,12.3867196
53.293443,14.1121836
53.2947402,14.1262562
53.2934066,14.1184906
53.8201619,11.337384
53.8201906,11.3363313
54.0194094,12.0949205
54.0213826,12.0977523
54.0108732,12.5425927
54.0271219,12.2321804
54.0777479,12.9325125
54.0901973,13.0747525
54.059997,12.6700767
53.5456862,13.7007482
53.5446173,13.704526
53.7955893,13.3223606
53.7928477,13.3241528
54.0611795,12.6769671
54.0312798,12.6000528
54.0556268,12.6416877
54.0848473,12.8204999
54.0737351,12.9049678
54.0030543,12.2023733
54.0252709,12.1831316
54.0894281,12.9825543
54.0797103,12.7503492
53.8277676,12.2978837
54.0597241,12.6699478
54.0869624,12.9829021
54.0078771,12.5243744
54.0153986,12.4417984
54.0385427,12.3666564
54.0260231,12.2335557
53.8856036,12.2594771
53.6857073,12.3699258
53.4561838,12.3855175
53.8699965,11.6210674
53.9016631,11.7183511
54.030857,12.4069634
54.0297233,12.4120247
53.4411182,13.9913205
53.4974608,13.912988
53.5197772,13.8221494
53.5487536,13.592223
53.3497796,11.8027443
53.336557,14.4142461
53.9986399,11.9615611
54.0010733,12.0007389
54.0856181,12.8005532
54.0116958,12.5397152
54.0588462,12.6729804
53.5845323,13.4211669
53.5811381,13.4174773
53.5817077,13.4174932
54.0716521,13.2107506
54.0712964,13.2073028
54.0733691,13.2115355
53.9616199,13.3673773
53.9414201,13.3608513
53.6912094,11.5083465
53.8791678,11.5382973
53.487174,11.2707104
53.4865998,11.2688231
53.2983908,11.9837684
53.2971402,11.9828707
53.8714024,11.62066
53.8713708,11.6214188
53.5819865,13.4177201
53.58112,13.4195366
53.5812079,13.4199135
53.5836309,13.4204479
53.5829505,13.4225126
53.5840755,13.4210708
53.5828823,13.4226828
53.5810906,13.4226487
53.5845298,13.4184584
53.5837948,13.4202395
53.5843413,13.4199517
53.5842781,13.4172402
53.5838437,13.4161876
53.582141,13.4161213
53.5819116,13.4170597
53.5832782,13.4159642
53.4961643,13.9121801
54.0839424,13.1300741
54.0839541,13.1280675
54.0872046,13.1270964
54.0882161,13.129379
54.0880091,12.9825124
53.8569403,13.3363026
53.881024,13.3463627
53.8434847,13.3298078
53.8573912,13.3370261
53.8586912,13.3364462
53.8578711,13.3370769
53.8583057,13.3382087
53.8587397,13.335989
53.8572704,13.3360373
53.8580716,13.3358268
53.8530008,13.3327871
53.8584729,13.3375762
53.3154321,14.2729782
53.3264221,14.3376911
53.5514716,13.6047239
53.5492363,13.5983716
53.5490346,13.5895832
53.5485066,13.5890379
53.549351,13.5992573
53.5500192,13.5982539
53.6193764,13.3678831
54.0281792,12.2033993
54.0121407,12.4524668
54.0083823,12.51098
54.0103422,12.5421569
54.010841,12.5431313
54.0228619,12.5697702
54.0289071,12.5957214
54.0684421,12.7115279
54.0801938,12.755533
54.0757248,12.8806919
54.0282653,12.1969697
54.028795,12.2029707
54.0379767,12.3154275
54.0284115,12.4154135
53.8253409,12.2995625
54.0866959,13.1280191
53.3708773,11.6504491
53.2969419,11.9807547
53.3500526,11.8018873
53.3668488,11.7346374
