lat,lon
51.454878,7.2247659
51.1182543,6.43094
51.3803551,8.1516011
51.1825588,7.2356098
51.2892672,7.2027966
50.8842839,7.0926991
51.9655282,8.5976251
52.2690018,7.9251907
51.9243909,8.6068562
51.2840289,6.2728047
50.8460007,6.5251046
50.9231316,7.0653203
51.4752525,7.1870317
50.9553698,7.1757392
50.8848817,6.9668227
50.9661728,6.3658246
50.7531119,7.0894735
51.2324152,6.5641367
51.6359048,6.2934858
51.4454183,6.7781453
51.6536346,7.0483091
50.8047795,6.7948292
52.2087677,7.8349195
51.7015773,6.9276398
51.549485,7.2147793
51.082963,7.6909816
51.9059649,6.1541714
51.3887843,6.2703021
51.4059588,6.9629097
51.3508514,7.3614053
51.2064723,6.1635764
50.9250717,6.8460608
51.4000993,7.459616
51.5221337,7.6569963
51.3596366,8.1662448
51.5883659,7.0289084
50.9291821,6.7818197
51.7360476,7.1497301
51.5961345,8.5012427
50.7244315,6.7828234
51.9625435,8.5878821
51.4421968,6.8081584
51.4582232,7.3166339
50.9019031,7.9184696
50.8838362,7.1858774
50.5834626,7.0276373
51.2959792,6.8069534
51.4614152,7.2924453
51.4894183,6.5789439
51.0174821,6.4895967
52.2539379,7.7837263
50.6531543,7.0472923
51.222513,6.6396633
51.4628373,7.4123346
51.8504107,7.2866114
51.2425197,6.4869334
51.3152562,6.6322454
50.5070706,6.663633
50.7786614,7.2212138
51.4606306,7.2403767
51.2792342,6.8095188
51.3527517,6.7429278
50.8449208,7.0983405
51.3684162,7.5207101
52.1899139,8.6682218
51.0392223,7.0000711
51.2021297,7.6758815
51.5688007,7.8845826
51.4367459,7.022746
51.1520847,6.8906191
51.2868743,6.8726146
51.42645,7.5447833
50.9699994,7.8425395
51.6011941,7.3290846
50.72296,7.1473349
51.541549,7.1478001
51.6745515,7.1573712
51.5157361,7.388709
51.2888105,6.669918
51.8836626,6.1827805
51.5784819,7.4981578
51.324851,6.6305042
51.0435092,6.49769
50.9179038,6.8436104
51.4569158,7.5566267
51.581624,7.1891612
51.2616409,7.1155568
51.1964494,6.9396611
50.9947329,6.5475854
51.3612359,7.386536
51.192569,6.3787313
51.9790341,8.465083
51.3487595,6.8555382
51.5121002,6.5827797
52.1267072,7.0879235
51.5451917,6.7334246
50.9298267,6.8023903
50.7531953,6.1505222
51.3573726,7.0492672
50.9762823,7.6449879
51.2711758,7.154611
51.9272808,8.582448
51.585624,7.2190303
50.8861322,7.09563
50.8296817,6.2904914
51.6774676,7.6788397
51.8841479,8.4350443
51.1003536,6.9637557
50.7501905,6.8584581
51.495316,7.3373088
51.0946846,6.47981
50.9069962,7.9152055
51.2775117,7.2598693
52.1956638,8.5477876
51.0545586,6.5001949
50.7959527,7.1585275
50.8477338,6.5177397
51.6548788,6.1788913
51.1536087,6.4044425
51.4173382,6.9767977
51.9411535,7.044451
51.462279,6.8836319
51.1497785,6.7581751
51.4328339,7.5325101
51.3159243,7.2762339
51.4804606,6.673791
51.8411561,7.2510692
52.0594491,8.6606552
51.5339437,7.6606224
50.8047133,6.1702974
50.761054,8.1538955
51.2712385,7.0814118
50.9352444,6.9830695
51.3437937,6.6234461
51.4744198,7.1312091
51.6069663,6.9410466
50.9158853,7.1055653
52.0776125,7.0769871
51.763697,8.6938456
51.5877519,8.7252583
50.8912458,6.685062
51.2422058,6.4921306
51.2607936,6.361394
51.5273872,7.662377
52.1291628,8.7370254
50.9463221,7.3029914
51.2325043,6.6398444
51.4777418,7.393027
51.8522555,7.2861728
50.9909798,7.8344982
50.7688466,6.8257568
51.4936672,7.2743287
51.5419548,7.1624003
51.5202212,7.3835699
51.9902259,7.0496771
51.52994,6.7581295
51.4245202,8.0568478
51.5962953,8.596166
51.4930888,6.6327754
52.2106936,8.8794444
51.1383265,7.1908523
51.4942842,7.3413892
51.1534248,6.4041443
50.8311539,6.3102631
51.3821508,7.6776585
51.6487031,7.1715925
52.2694717,7.9276308
51.5391603,6.7481537
51.5286148,7.6606938
51.5893038,8.6812942
51.243291,6.483922
50.8069977,6.9076636
50.6475729,6.7236505
51.4570375,6.5910659
51.5372518,8.8652649
50.7910894,6.8530152
51.4409765,6.9596043
51.9282505,8.5805827
50.953496,7.1969283
51.1209671,6.9787461
50.9497968,7.1301999
50.776449,7.2393174
51.6003306,7.6842307
50.9477684,7.2202417
50.9859622,7.0150065
51.4714484,7.1115432
50.9064463,7.0589426
51.5122848,7.6167099
51.0935935,6.4796276
50.7947605,6.169541
51.4984447,7.2187175
51.1001116,7.1418345
52.256874,7.7215504
51.5851097,7.2185039
51.4044318,8.087181
50.7239751,6.1298951
50.6380194,6.7208221
51.5455319,8.1006448
51.1705703,7.6527369
51.1934611,6.8107042
51.5844862,8.7211578
50.9572445,6.3553283
51.2878449,6.635443
51.6707309,7.1570047
51.1119816,6.9808692
51.9476004,8.5094994
50.9110771,7.9137461
51.4141779,6.4771308
50.8938569,7.9251849
50.9500615,7.2745429
51.0569421,6.9377417
51.4963138,7.2661773
51.7050954,7.1485801
50.9365931,6.9816693
50.9941522,7.8406033
50.6746739,6.9150298
51.6145449,7.034763
50.9741968,7.7353867
52.1180382,7.7058569
51.0792916,6.9346163
51.5008573,6.8663563
51.4564362,7.2249754
51.3895265,7.7098313
51.2902459,7.2051588
51.4949487,7.247588
50.7528846,6.148371
51.4919879,6.5758762
51.0403851,6.9702325
51.4549904,7.5609273
52.2904036,7.5460684
51.4939465,6.6286997
50.9459219,7.3020466
51.8297181,6.3764449
51.8543687,8.3221399
51.3797964,6.2414903
50.7238049,7.1646597
51.2664697,7.1370134
50.8256338,7.0985822
51.1128041,6.9885352
51.3567931,8.2176224
51.103167,6.4264055
50.7844557,7.1507467
51.7903192,7.1794915
51.2424779,6.4784533
51.4397817,7.5347708
51.0678823,6.4902501
51.4789637,6.7696739
51.3590035,7.3764722
50.7654937,7.1393231
51.9080079,6.1531193
51.537764,6.8726585
52.0221973,7.5950141
51.0226406,6.9396204
50.9300084,6.7964013
52.2686762,7.9247041
50.5944288,7.0317247
50.9306958,6.9854927
51.1000623,6.5370402
51.5220771,7.6585282
51.2435576,6.4851159
51.5964042,7.0357358
51.4581439,7.3505638
51.585484,6.9405456
50.9815399,7.8235252
51.355144,7.0448331
51.5413024,8.0195535
50.9884617,7.8372754
51.5951119,7.2513374
51.9997868,7.0500534
51.1912285,6.9003784
51.8898238,6.1745187
51.7067253,8.7056999
51.3265556,7.067
52.2336161,8.7932429
51.2096246,6.3471823
51.1921872,6.918101
51.5437862,7.1997933
51.0391693,6.9633163
51.8536112,8.3245989
50.8853239,7.0941876
51.10452,6.4241385
52.2050451,8.7514343
50.7932635,6.8584709
51.4990618,7.4266121
51.2021426,6.0751902
50.9219611,6.6755259
52.201398,7.812053
